,Unnamed: 0,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY,timestamp,hour,month,weekday
13600,4566,19948166,06/23/2022 08:14:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.344,34.09,1,2022-06-23 20:14:00,20,6,3
13601,4576,19879051,04/06/2022 06:04:00 PM,NON-AGGRAVATED ASSAULTS,144,"1200 N LA BREA AVE, WEST HOLLYWOOD, CA 90069",-118.344,34.093,2,2022-04-06 18:04:00,18,4,2
13602,4642,19848426,03/02/2022 01:02:30 PM,LARCENY THEFT,89,"8100 NORTON AVE, WEST HOLLYWOOD, CA 90046",-118.366,34.091,1,2022-03-02 13:02:30,13,3,2
13603,4701,19819490,01/27/2022 02:00:00 AM,BURGLARY,73,"800 HUNTLEY DR, WEST HOLLYWOOD, CA 90069",-118.38,34.086,1,2022-01-27 02:00:00,2,1,3
13604,4739,19825573,02/02/2022 10:26:30 PM,LARCENY THEFT,340,"8500 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.376,34.094,1,2022-02-02 22:26:30,22,2,2
13605,4819,19822168,01/30/2022 08:40:00 AM,NON-AGGRAVATED ASSAULTS,144,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.084,2,2022-01-30 08:40:00,8,1,6
13606,4898,19795943,01/03/2022 12:00:00 PM,ARSON,271,"1100 FULLER AVE, WEST HOLLYWOOD, CA",-118.35,34.092,1,2022-01-03 12:00:00,12,1,0
13607,4995,19978869,07/28/2022 01:58:00 AM,MISDEMEANORS MISCELLANEOUS,399,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.351,34.092,2,2022-07-28 01:58:00,1,7,3
13608,5032,19853724,03/08/2022 12:50:00 AM,LARCENY THEFT,340,"8300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.372,34.09,1,2022-03-08 00:50:00,0,3,1
13609,5041,19890326,04/15/2022 08:24:00 PM,LARCENY THEFT,387,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.386,34.083,1,2022-04-15 20:24:00,20,4,4
13610,5064,19843901,02/24/2022 10:45:00 PM,ROBBERY,31,"8300 DE LONGPRE AVE, WEST HOLLYWOOD, CA 90069",-118.371,34.095,1,2022-02-24 22:45:00,22,2,3
13611,5087,19821729,01/29/2022 01:56:00 PM,NARCOTICS,185,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.083,2,2022-01-29 13:56:00,13,1,5
13612,5105,19836061,02/15/2022 01:00:00 PM,FORCIBLE RAPE,22,"7600 HAMPTON AVE, WEST HOLLYWOOD, CA 90046",-118.356,34.093,1,2022-02-15 13:00:00,13,2,1
